26
csv_old.arc,[COM3D2 Compatible Update Patch]
csv_dlc305.arc,[COM3D2 Shop] [Giga - Ai Kiss Dance]
csv_dlc306.arc,[SSI Japan Love Vibe Adult Shop & Night Skill Skill Set]
parts_dlc307.arc,[COM3D2 Shop] [AUGUST - Iris Mysteria Character Set 2] [Limited Edition]
parts_dlc309.arc,[COM3D2 Shop] [AUGUST - Iris Mysteria Character Set 2] [Koto Costume Set]
parts_dlc311.arc,[COM3D2 Shop] [COM3D2 Costume Set Vol.2]
parts_dlc314.arc,[COM3D2 Shop] [COM3D2 Costume Set Vol.4]
parts_dlc318.arc,[COM3D2 Shop] [Pajamas EX - Mari Set]
parts_dlc320.arc,[COM3D2 Shop] [COM3D2 Costume Set Vol.5]
parts_dlc323.arc,[COM3D2 Shop] [COM3D2 Costume Set Vol.7]
parts_dlc326.arc,[COM3D2 Shop] [Pajamas EX - isami moe Set]
parts_dlc327.arc,[COM3D2 Shop] [COM3D2 Costume Set Vol.8]
parts_ggcc.arc,[GoGo Curry Collaboration Costume Set]
parts_bcc.arc,[BitCash Collaboration Set Vol.1]
parts_bcc3.arc,[BitCash Collaboration Set Vol.2]
parts_maidcafec.arc,[Cafe Mailish Collaboration Maid Set]
parts_maidcafec2.arc,[Cafe Mailish Collaboration Maid Set II]
parts_maidcafec3.arc,[Cafe Mailish Collaboration Maid Set III]
parts_vac001.arc,[Tech Gian] [Voice Actress Concerto]
parts_vac002.arc,[Tech Gian] [Voice Actress Concerto 2]
parts_tech003.arc,[Tech Gian Bonus] [Favorite - Sakura, Moyu. Set]
parts_tech004.arc,[Tech Gian Bonus] [Madosoft Collaboration - Raspberry Cube Ruri Uniform]
parts_bugbug002.arc,[BugBug Lingerie Set]
csv_bugbug003.arc,[COM3D2 Shop] [Yotogi Class - BugBug Custom Maid]
bg_cd001.arc,[Vocal Collection] [Music Dress Set]
bg_cd002.arc,[Vocal Collection 2] [Groove Dress Set]
parts_cd003.arc,[Vocal Collection 3] [Sound Dress Set]
motion_magazine003.arc,[Fanbook 3 - Sakura Uraraka Dance, Song, and Costume]
csv_omytgc001.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.19]
csv_omytgc002.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.20]
csv_omytgc003.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.21]
csv_omytgc004.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.22]
csv_omytgc005.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.23]
csv_omytgc006.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.24]
csv_omytgc007.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.25]
csv_omytgc008.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.26]
csv_omytgc009.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.27]
csv_omytgc010.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.28]
csv_omytgc011.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.29]
csv_omytgc012.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.30]
csv_omytgc013.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.31]
csv_omytgc014.arc,[COM3D2 Shop] [Yotogi Class Skills Vol.32]
csv_karaoke001.arc,[COM3D2 Append] [CM3D2 Karaoke Pack VR Vol.1]
csv_karaoke002.arc,[COM3D2 Append] [CM3D2 Karaoke Pack VR Vol.2]
csv_karaoke003.arc,[COM3D2 Append] [COM3D2 Karaoke Pack VR Vol.1]
csv_karaoke004.arc,[COM3D2 Append] [COM3D2 Karaoke Pack VR Vol.2]
csv_karaoke005.arc,[COM3D2 Append] [COM3D2 Karaoke Pack VR Vol.3]
csv_charaevent001.arc,[COM3D2 Shop] [Event Add-on Pack Vol.1]
csv_charaevent002.arc,[COM3D2 Shop] [Event Add-on Pack Vol.2]
csv_charaevent003.arc,[COM3D2 Shop] [Event Add-on Pack Vol.3]
csv_charaevent004.arc,[COM3D2 Shop] [Event Add-on Pack Vol.4]
csv_charaevent005.arc,[COM3D2 Shop] [Event Add-on Pack Vol.5]
csv_charaevent006.arc,[COM3D2 Shop] [Event Add-on Pack Vol.6]
csv_charaevent007.arc,[COM3D2 Shop] [Event Add-on Pack Vol.7]
csv_charaevent008.arc,[COM3D2 Shop] [Event Add-on Pack Vol.8]
csv_charaevent009.arc,[COM3D2 Shop] [Event Add-on Pack Vol.9]
csv_charaevent010.arc,[COM3D2 Shop] [Event Add-on Pack Vol.10]
csv_charaevent011.arc,[COM3D2 Shop] [Event Add-on Pack Vol.11]
csv_charaevent012.arc,[COM3D2 Shop] [Event Add-on Pack Vol.12]
csv_charaevent013.arc,[COM3D2 Shop] [Event Add-on Pack Vol.13]
csv_charaevent014.arc,[COM3D2 Shop] [Event Add-on Pack Vol.14]
csv_charaevent002ntr.arc,[COM3D2 Shop] [Event Add-on Pack Vol.2 NTR]
csv_charaevent003ntr.arc,[COM3D2 Shop] [Event Add-on Pack Vol.3 NTR]
csv_charaevent004ntr.arc,[COM3D2 Shop] [Event Add-on Pack Vol.4 NTR]
csv_charaevent005ntr.arc,[COM3D2 Shop] [Event Add-on Pack Vol.5 NTR]
csv_charaevent006ntr.arc,[COM3D2 Shop] [Event Add-on Pack Vol.6 NTR]
csv_charaevent007ntr.arc,[COM3D2 Shop] [Event Add-on Pack Vol.7 NTR]
csv_charaevent008ntr.arc,[COM3D2 Shop] [Event Add-on Pack Vol.8 NTR]
csv_charaevent009ntr.arc,[COM3D2 Shop] [Event Add-on Pack Vol.9 NTR]
csv_charaevent012add.arc,[COM3D2 Shop] [Event Add-on Pack Vol.12 Add]
csv_charaevent013add.arc,[COM3D2 Shop] [Event Add-on Pack Vol.13 Add]
csv_charaevent014add.arc,[COM3D2 Shop] [Event Add-on Pack Vol.14 Add]
parts_kissevent2018.arc,[COM3D2 Shop] [KISS Event 2018 March Item Set]
parts_kissevent2018_2.arc,[COM3D2 Shop] [KISS Event 2018 - KISS 20th Anniversary Memorial Book Desktop Item]
csv_oldplus001.arc,[COM3D2 Shop] [Lover+ Condition & H-event Add-on Pack] [Innocence]
csv_oldplus002.arc,[COM3D2 Shop] [Lover+ Condition & H-event Add-on Pack] [Tsundere]
csv_oldplus003.arc,[COM3D2 Shop] [Lover+ Condition & H-event Add-on Pack] [Kuudere]
csv_oldplus004.arc,[COM3D2 Shop] [Lover+ Condition & H-event Add-on Pack] [Yandere]
csv_oldplus005.arc,[COM3D2 Shop] [Lover+ Condition & H-event Add-on Pack] [Onee-chan]
parts_oldplus002hair1.arc,[COM3D2 Shop] [Lover+ Condition & H-event Add-on Pack] [Tsundere] hair
parts_oldplus003hair1.arc,[COM3D2 Shop] [Lover+ Condition & H-event Add-on Pack] [Kuudere] hair
parts_oldplus004hair1.arc,[COM3D2 Shop] [Lover+ Condition & H-event Add-on Pack] [Yandere] hair
parts_oldplus005hair1.arc,[COM3D2 Shop] [Lover+ Condition & H-event Add-on Pack] [Oneechan] hair
csv_kissnohi001.arc,[Kissing Day Plugin]
csv_maidnohi001.arc,[Maid's Day Plugin] 
csv_2ndanniversary.arc,[COM3D2 Shop] [2nd Anniversary Event]
csv_april2020.arc,[A.K.Pack Trial Version]
csv_denkigai2017w.arc,[Denkigai 2017 Winter] [Item Set]
csv_denkigai2017wkey3.arc,[Denkigai 2017 Winter] [Gift Card]
csv_denkigai2017wPosterStarter.arc,[Denkigai 2017 Winter] [COM3D2 Starter Pack Poster]
csv_denkigai2017wPoster3d21.arc,[Denkigai 2017 Winter] [COM3D2 Poster]
csv_denkigai2017wPosterkaraoke002.arc,[Denkigai 2017 Winter] [Karaoke Pack VR 2 Poster]
bg_denkigai2018s.arc,[Denkigai 2018 Summer] [Item Set]
bg_denkigai2018spcard.arc,[Denkigai 2018 Summer] [Gift Card]
csv_denkigai2018scd.arc,[Denkigai 2018 Summer]
csv_denkigai2018spostercm3d2com3d2.arc,[Denkigai 2018 Summer] [COM3D2&CM3D2 WP`ack Poster]
csv_denkigai2018ssposter1.arc,[Denkigai 2018 Summer] [Bookworm Slim Poster]
csv_denkigai2018spostermukuti.arc,[Denkigai 2018 Summer] [Bookworm Personality Pack Poster]
parts_denkigai2018syosikoshirt.arc,[Denkigai 2018 Summer] [Yoshiko TShirt]
csv_denkigai2018srecord.arc,[Denkigai 2018 Summer] [Analog Record]
csv_denkigai2018sposterhubs2.arc,[Denkigai 2018 Summer] [Chu-B Lip S2 Poster]
csv_denkigai2018sposteryandere.arc,[Denkigai 2018 Summer] [Yandere Personality Pack Poster]
csv_denkigai2018w.arc,[Denkigai 2018 Winter] [Item Set] [Event Version]
csv_denkigai2018wpcard.arc,[Denkigai 2018 Winter] [Gift Card]
parts_denkigai2018wmumuta.arc,[Denkigai 2018 Winter] [Mumuta Collab Costume]
csv_denkigai2019s.arc,[Denkigai 2019 Summer] [Item Set]
csv_denkigai2019sbara.arc,[Denkigai 2019 Summer] [Queen Rose Whip + Yotogi Skill]
parts_denkigai2019smumuta.arc,[Denkigai 2019 Summer] [Mumuta Costume Set 2]
csv_denkigai2019ssposter1.arc,[Denkigai 2019 Summer] [Stick Poster] [Maid Secretary]
csv_denkigai2019ssposter2.arc,[Denkigai 2019 Summer] [Stick Poster] [Imouto]
csv_denkigai2019ssposter3.arc,[Denkigai 2019 Summer] [Stick Poster] [Wary]
csv_denkigai2019w.arc,[Denkigai 2019 Winter] [Item Set]
csv_denkigai2019wposter.arc,[Denkigai 2019 Winter] [Ojousama Personality Pack Poster]
bg_sp001.arc,[COM3D2 Shop] [Season Pack] [2018 Summer]
bg_sp002.arc,[COM3D2 Shop] [Season Pack] [2018 Autumn]
bg_sp003.arc,[COM3D2 Shop] [Season Pack] [2018 Winter]
bg_sp004.arc,[COM3D2 Shop] [Season Pack] [2019 Spring]
bg_sp005.arc,[COM3D2 Shop] [Date Pack] [2019 Summer]
bg_sp006.arc,[COM3D2 Shop] [Date Pack] [2019 Winter]
bg_cw004.arc,[COM3D2 Shop] [Date Pack] [2020 Spring]
csv_cw001.arc,[COM3D2 Shop] [Costume+Shopping Set Vol.1]
csv_cw002.arc,[COM3D2 Shop] [Costume+Shopping Set Vol.2]
csv_cw003.arc,[COM3D2 Shop] [Costume+Shopping Set Vol.3]
parts_cas001.arc,[COM3D2 Shop] [Date Costume Pack]
parts_cas003.arc,[COM3D2 Shop] [Costume Pack] [2019 Winter]
parts_cas007.arc,[COM3D2 Shop] [Costume Set] [Marine Sailor Set]
parts_cas009.arc,[COM3D2 Shop] [COM3D2 Costume Set Vol.6]
model_cbp.arc,[Chu-B Lip] [CM3D2 CBL Maid Set]
parts_com3d2cbp.arc,[Chu-B Lip] [COM3D2 CBL Maid Set]
parts_yomeidokanteidan_appraiser.arc,[S-Court CR Shop] [Appraiser Uniform]
csv_yomeidokanteidan_bromide.arc,[S-Court CR Shop] [Bromide]
csv_yomeidokanteidan_bladeset.arc,[S-Court CR Shop] [Excellent Katana]
parts_yomeidokanteidan2_godmaid.arc,[S-Court CR Shop] [Goddess Maid]
parts_yomeidokanteidan_accset.arc,[S-Court CR Shop] [Jewelry Box]
parts_yomeidokanteidan_legendmaid.arc,[S-Court CR Shop] [Legendary Maid Uniform]
parts_yomeidokanteidan_superguneset.arc,[S-Court CR Shop] [Luxurious Fantasy Gun Set]
parts_yomeidokanteidan_accset_b.arc,[S-Court CR Shop] [Luxurious Piercings]
parts_yomeidokanteidan_realguneset.arc,[S-Court CR Shop] [Luxurious Real Gun Set]
parts_yomeidokanteidan_swordset.arc,[S-Court CR Shop] [Master's Sword]
csv_crshop001.arc,[S-Court CR Shop] [Mini Event Set Vol.1]
csv_crshop002.arc,[S-Court CR Shop] [Mini Event Set Vol.2]
csv_crshop003.arc,[S-Court CR Shop] [Mini Event Set Vol.3]
csv_crshop004.arc,[S-Court CR Shop] [NPC Mini Event Set]
csv_yomeidokanteidan_nicepot.arc,[S-Court CR Shop] [Nice Pot]
csv_yomeidokanteidan_nicescroll.arc,[S-Court CR Shop] [Nice Scroll]
csv_yomeidokanteidan_portrait.arc,[S-Court CR Shop] [Portrait]
parts_yomeidokanteidan2_queendevilmaid.arc,[S-Court CR Shop] [Queen Devil Maid]
csv_yomeidokanteidan_sticker.arc,[S-Court CR Shop] [Sticker]
parts_yomeidokanteidan_tshirt.arc,[S-Court CR Shop] [TShirt]
csv_yomeidokanteidan_coaster.arc,[S-Court CR Shop] [Uncle Coaster]
csv_yomeidokanteidan_minimat.arc,[S-Court CR Shop] [Uncle Mat]
parts_3d2hairs1.arc,[COM3D2 INM Shop] [designated plug-in] [Hair Set1]
